"","Price"
"1",29.62
"2",28.18
"3",29.26
"4",32.08
"5",31.4
"6",32.33
"7",25.2
"8",25.96
"9",27.24
"10",25.02
"11",25.72
"12",27.55
"13",26.97
"14",24.8
"15",25.82
"16",25.21
"17",20.73
"18",18.69
"19",18.52
"20",19.15
"21",19.98
"22",23.64
"23",25.43
"24",25.67
"25",24.49
"26",25.75
"27",26.78
"28",28.28
"29",27.53
"30",24.54
"31",27.89
"32",30.75
"33",32.88
"34",30.36
"35",25.56
"36",26.06
"37",27.92
"38",28.59
"39",29.68
"40",26.88
"41",29.01
"42",29.12
"43",29.97
"44",31.37
"45",31.33
"46",33.67
"47",33.71
"48",37.56
"49",35.54
"50",37.89
"51",42.08
"52",41.6
"53",46.88
"54",42.13
"55",39.04
"56",42.97
"57",44.82
"58",50.94
"59",50.64
"60",47.83
"61",53.89
"62",56.37
"63",61.89
"64",61.69
"65",58.19
"66",55.04
"67",56.43
"68",62.46
"69",59.7
"70",60.93
"71",67.97
"72",68.68
"73",68.29
"74",72.45
"75",71.81
"76",62.12
"77",57.91
"78",58.14
"79",60.99
"80",53.52
"81",57.56
"82",60.6
"83",65.06
"84",65.16
"85",68.19
"86",73.6
"87",70.13
"88",76.76
"89",81.97
"90",91.34
"91",89.52
"92",90.69
"93",93.39
"94",101.84
"95",108.76
"96",122.63
"97",131.52
"98",132.83
"99",114.57
"100",99.66
"101",72.69
"102",53.97
"103",41.34
"104",43.86
"105",41.84
"106",46.65
"107",50.28
"108",58.15
"109",69.15
"110",64.67
"111",71.63
"112",68.35
"113",74.08
"114",77.55
"115",74.88
"116",77.12
"117",74.76
"118",79.3
"119",84.18
"120",75.62
"121",74.73
"122",74.58
"123",75.83
"124",76.12
"125",81.72
"126",84.53
"127",90.01
"128",92.69
"129",97.91
"130",108.65
"131",116.24
"132",108.07
"133",105.85
"134",107.92
"135",100.49
"136",100.82
"137",99.85
"138",105.41
"139",104.23
"140",107.07
"141",112.69
"142",117.79
"143",113.67
"144",104.09
"145",90.73
"146",96.75
"147",105.27
"148",106.28
"149",103.41
"150",101.17
"151",101.19
"152",105.1
"153",107.64
"154",102.52
"155",98.85
"156",99.37
"157",99.74
"158",105.26
"159",108.16
"160",108.76
"161",105.43
"162",102.63
"163",105.48
"164",102.1
"165",104.83
"166",104.04
"167",104.87
"168",105.71
"169",108.37
"170",105.23
"171",100.05
"172",95.85
"173",86.08
"174",76.99
"175",60.7
"176",47.11
"177",54.79
"178",52.83
"179",57.54
"180",62.51
"181",61.31
"182",54.34
"183",45.69
"184",46.28
"185",46.96
"186",43.11
"187",36.57
"188",29.78
"189",31.03
"190",37.34
"191",40.75
"192",45.94
"193",47.69
"194",44.13
"195",44.88
"196",45.04
"197",49.29
"198",45.26
"199",52.62
"200",53.59
"201",54.35
"202",50.9
"203",52.16
"204",49.89
"205",46.17
"206",47.66
"207",49.94
"208",52.95
"209",54.92
"210",59.93
"211",61.19
"212",66.23
"213",63.46
"214",64.17
"215",68.79
"216",73.43
"217",71.98
"218",72.67
"219",71.08
"220",75.36
"221",76.73
"222",62.32
"223",53.96
"224",56.58
"225",61.13
"226",63.79
"227",68.58
"228",66.83
"229",59.76
"230",61.48
"231",57.67
"232",60.04
"233",57.27
"234",60.4
"235",63.35
"236",61.63
"237",53.35
"238",32.2
"239",21.04
"240",30.38
